Id,SalePrice
1461,206490.05
1462,236039.67
1463,304554.28
1464,313973.56
1465,321373.6
1466,271083.06
1467,296274.16
1468,275625.0
1469,309426.44
1470,222869.53
1471,332071.97
1472,171938.06
1473,165645.69
1474,229369.94
1475,210780.3
1476,473981.12
1477,374861.06
1478,414545.47
1479,387430.12
1480,569481.5
1481,442072.03
1482,332775.44
1483,267397.22
1484,268765.78
1485,340010.06
1486,305620.34
1487,443935.2
1488,344046.88
1489,331242.3
1490,334864.8
1491,305591.2
1492,176142.27
1493,292441.78
1494,415663.4
1495,431377.4
1496,364109.97
1497,283410.47
1498,301203.97
1499,297174.6
1500,245894.64
1501,278248.62
1502,263010.2
1503,487589.38
1504,399688.47
1505,348234.56
1506,231333.66
1507,333091.7
1508,266250.1
1509,238293.1
1510,220468.25
1511,224231.84
1512,230463.2
1513,211922.95
1514,254309.92
1515,264082.66
1516,238460.64
1517,287222.8
1518,175874.2
1519,346517.2
1520,206231.64
1521,203191.6
1522,246570.0
1523,187385.44
1524,206719.19
1525,213550.06
1526,200577.03
1527,226049.16
1528,248384.7
1529,228324.53
1530,270917.94
1531,158809.47
1532,179516.53
1533,218634.7
1534,228476.58
1535,247318.44
1536,172036.14
1537,163069.81
1538,274056.53
1539,319695.1
1540,131306.03
1541,240668.08
1542,227474.08
1543,301174.94
1544,172857.45
1545,201145.19
1546,236151.58
1547,209250.11
1548,217417.52
1549,209306.4
1550,212636.38
1551,195462.94
1552,211837.88
1553,264552.78
1554,208268.2
1555,217892.86
1556,144670.4
1557,177368.42
1558,185720.9
1559,101799.016
1560,205532.84
1561,172915.0
1562,246617.03
1563,214584.9
1564,234196.98
1565,237095.3
1566,365060.56
1567,175864.8
1568,308468.0
1569,229093.83
1570,245556.95
1571,201778.83
1572,249811.25
1573,379696.38
1574,175560.66
1575,351967.7
1576,370980.62
1577,301281.53
1578,261281.17
1579,271161.7
1580,316134.2
1581,264826.66
1582,216558.92
1583,458062.16
1584,321643.72
1585,272836.88
1586,138716.48
1587,183774.55
1588,226253.83
1589,201178.38
1590,226985.84
1591,171413.0
1592,201779.03
1593,236541.3
1594,131699.06
1595,168303.03
1596,294233.56
1597,255708.06
1598,360340.16
1599,318516.44
1600,283677.9
1601,166819.62
1602,212232.4
1603,140977.05
1604,396444.97
1605,392182.12
1606,267396.2
1607,211208.5
1608,341522.2
1609,312130.34
1610,248529.25
1611,216902.86
1612,245764.77
1613,264702.94
1614,200100.34
1615,162694.52
1616,138685.94
1617,170549.44
1618,237237.8
1619,255396.34
1620,219540.25
1621,246118.22
1622,208794.42
1623,422401.28
1624,318272.3
1625,225646.81
1626,238069.58
1627,301376.34
1628,406665.44
1629,316202.94
1630,433304.16
1631,369392.3
1632,365532.6
1633,319803.34
1634,295760.62
1635,292042.12
1636,258008.95
1637,259825.31
1638,268783.72
1639,258673.17
1640,334495.5
1641,273301.72
1642,344264.8
1643,356468.6
1644,372880.4
1645,270801.16
1646,252473.84
1647,262696.6
1648,196569.23
1649,211409.22
1650,222230.47
1651,247546.39
1652,172791.03
1653,171843.14
